product_name,category,description,price,resting_time,skin_types,ingredients,benefits,concerns
Hydrating Cream,Skincare,"A deeply moisturizing cream that nourishes dry skin and helps restore hydration for a smooth, soft feel.",19.99,15 minutes,"Dry, Normal, Combination","Aloe Vera, Jojoba Oil, Shea Butter","Hydration, Smooth Texture","Dryness, Rough Texture"
Cleansing Gel,Skincare,"A gentle foaming gel that removes impurities and excess oils while keeping the skin hydrated and soft.",14.50,Immediate,"Oily, Normal, Combination","Glycerin, Salicylic Acid, Vitamin E","Cleansing, Hydration","Excess Oil, Pore Clogging"
Exfoliating Scrub (Gommage),Skincare,"A gentle scrub that removes dead skin cells and impurities, leaving the skin smooth and refreshed.",17.99,5 minutes,"Oily, Combination, Normal","Sugar, Vitamin C, Green Tea Extract","Exfoliation, Brightening","Dead Skin Cells, Dullness"
Nourishing Night Cream,Skincare,"A rich night cream that replenishes moisture and supports skin regeneration overnight, perfect for dry skin.",22.00,Overnight,"Dry, Mature","Vitamin E, Retinol, Shea Butter","Nourishment, Skin Repair","Dryness, Aging"
Gentle Face Wash,Skincare,"A mild, non-stripping cleanser that removes dirt and makeup, suitable for sensitive skin types.",12.99,Immediate,"Sensitive, Dry, Normal","Chamomile, Aloe Vera, Glycerin","Cleansing, Soothing","Irritation, Makeup Removal"
Clay Face Mask,Skincare,"A purifying clay mask that draws out impurities and excess oil for clear, balanced skin.",18.50,15 minutes,"Oily, Combination","Kaolin Clay, Charcoal, Aloe Vera","Purification, Oil Control","Excess Oil, Pores"
Moisturizing Toner,Skincare,"A hydrating toner that refreshes and balances the skin, leaving it soft and ready for moisturizing.",13.50,Immediate,"Normal, Dry, Combination","Rose Water, Hyaluronic Acid","Hydration, Skin Balancing","Dryness, Uneven Texture"
Deep Cleansing Mask,Skincare,"A deep-cleansing mask that removes impurities and tightens pores, giving your skin a refreshed, matte finish.",19.00,15 minutes,"Oily, Acne-prone","Activated Charcoal, Clay, Tea Tree Oil","Cleansing, Oil Control","Clogged Pores, Acne"
Daily Moisturizer,Skincare,"A lightweight moisturizer designed for everyday use, providing long-lasting hydration without feeling greasy.",16.00,Immediate,"Normal, Combination, Oily","Glycerin, Niacinamide, Aloe Vera","Moisturizing, Oil Control","Dryness, Excess Oil"
Soothing Aloe Gel,Skincare,"An aloe-based gel that soothes irritated skin and reduces redness. Ideal for sensitive and sun-exposed skin.",11.50,Immediate,"Sensitive, Normal","Aloe Vera, Cucumber Extract","Soothing, Anti-inflammatory","Redness, Irritation"
Purifying Charcoal Mask,Skincare,"A detoxifying mask with activated charcoal that draws out impurities, leaving your skin clear and rejuvenated.",18.00,20 minutes,"Oily, Combination, Acne-prone","Activated Charcoal, Kaolin Clay","Detoxifying, Oil Control","Acne, Clogged Pores"
Lightweight Day Cream,Skincare,"A non-greasy day cream that provides hydration while protecting the skin from environmental stressors.",17.00,Immediate,"Normal, Combination, Oily","Jojoba Oil, Vitamin C, Green Tea Extract","Hydration, Protection","Environmental Damage, Dryness"
Micellar Water,Skincare,"A gentle, no-rinse micellar water that removes makeup and cleanses the skin without drying it out.",15.00,Immediate,"Sensitive, Normal","Glycerin, Micelles, Chamomile Extract","Cleansing, Soothing","Makeup Removal, Dryness"
Anti-Blemish Face Wash,Skincare,"A targeted facial wash that helps reduce breakouts and excess oil, leaving the skin feeling refreshed.",16.99,Immediate,"Oily, Acne-prone","Salicylic Acid, Tea Tree Oil, Aloe Vera","Acne Treatment, Oil Control","Blemishes, Acne"
Revitalizing Eye Cream,Skincare,"A soothing eye cream that reduces puffiness and dark circles while revitalizing the delicate skin around the eyes.",20.00,10 minutes,"Normal, Dry, Mature","Caffeine, Hyaluronic Acid, Vitamin K","Puffiness Reduction, Brightening","Dark Circles, Puffiness"
